bayes,locus,p.value,adj.p.value
0.5,Rv0910,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1974,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3405c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,vapC1-icd2,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0574c-Rv0575c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,pheS,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0208c-Rv0209,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2438A,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2484c-lipQ,1.1707487982515197e-5,2.3755309918010488e-4
0.5,moxR2-Rv3693,1.1707487982515197e-5,2.3755309918010488e-4
0.5,yrbE4A,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0263c-Rv0264c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1867-Rv1868,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3686c-rsfB,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3268-Rv3269,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0367c-Rv0368c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,sdhD-sdhA,1.1707487982515197e-5,2.3755309918010488e-4
0.5,ldtB-lysU,1.1707487982515197e-5,2.3755309918010488e-4
0.5,rfbE,1.1707487982515197e-5,2.3755309918010488e-4
0.5,citA-Rv0890c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1670,1.1707487982515197e-5,2.3755309918010488e-4
0.5,hisG,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0163,1.1707487982515197e-5,2.3755309918010488e-4
0.5,esxC,1.1707487982515197e-5,2.3755309918010488e-4
0.5,mbtE-mbtD,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2117,1.1707487982515197e-5,2.3755309918010488e-4
0.5,bfrB,1.1707487982515197e-5,2.3755309918010488e-4
0.5,moaD1,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2189c-Rv2190c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2406c-Rv2407,1.1707487982515197e-5,2.3755309918010488e-4
0.5,icl1-fadB2,1.1707487982515197e-5,2.3755309918010488e-4
0.5,mtrA,1.1707487982515197e-5,2.3755309918010488e-4
0.5,mtn-ctpA,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1120c-zwf1,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0383c-clpB,1.1707487982515197e-5,2.3755309918010488e-4
0.5,hsaB,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0238,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2324,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0912,1.1707487982515197e-5,2.3755309918010488e-4
0.5,fadE22-ligB,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0526,1.1707487982515197e-5,2.3755309918010488e-4
0.5,esxN,1.1707487982515197e-5,2.3755309918010488e-4
