background,strain,rep,isolate,sample,assay,ic50,fitness,auc,ic50.fc,ic50.log2.fc
wt,anc,b,wt-anc,wt-anc-b,5,3.1799999999999997,1.0041392731078582,40.97720891150169,1.037520391517129,0.05313969159357394
wt,anc,c,wt-anc,wt-anc-c,5,4.109999999999999,0.8503347482249433,34.7007089115017,1.5307262569832403,0.6142163056962704
wj,anc,a,wj-anc,wj-anc-a,5,2.78,1.0079620255784603,41.13320891150169,0.8853503184713376,-0.17567967616811953
wj,anc,b,wj-anc,wj-anc-b,5,3.9899999999999998,0.772311390107011,31.5167089115017,1.2707006369426752,0.3456241873307188
wj,anc,c,wj-anc,wj-anc-c,5,2.2399999999999998,1.0576823125198185,43.162208911501686,0.7133757961783439,-0.487265826834023
mshA,KO,a,mshA-KO,mshA-KO-a,5,64.48,0.4444245988705184,18.136208911501694,20.535031847133762,4.3600152796363405
mshA,KO,b,mshA-KO,mshA-KO-b,5,7.78,0.6760809481066592,27.589708911501695,2.477707006369427,1.309005596094565
mshA,KO,c,mshA-KO,mshA-KO-c,5,48.449999999999996,0.5127685516942975,20.92520891150169,15.429936305732484,3.9476602014108164
mshA,comp,a,mshA-comp,mshA-comp-a,5,4.88,1.0148356285784854,41.41370891150169,1.5541401273885351,0.6361165886712593
mshA,comp,b,mshA-comp,mshA-comp-b,5,6.41,0.8721807984014935,35.59220891150169,2.0414012738853504,1.029559797727114
mshA,comp,c,mshA-comp,mshA-comp-c,5,8.83,0.8625381503426348,35.1987089115017,2.8121019108280256,1.4916488787568392
wt,anc,d,wt-anc,wt-anc-d,5,2.61,0.9920338902842847,40.4832089115017,0.9720670391061453,-0.040872281415528
wt,anc,e,wt-anc,wt-anc-e,5,2.44,1.1533123863436976,47.0647089115017,0.7770700636942676,-0.36388341132874064
wt,anc,f,wt-anc,wt-anc-f,5,3.42,0.9439921837546972,38.522708911501695,1.089171974522293,0.12323176599427083
wj,anc,d,wj-anc,wj-anc-d,5,2.53,1.0060383969313944,41.05470891150169,0.8057324840764332,-0.3116271741973168
wj,anc,e,wj-anc,wj-anc-e,5,4.83,0.781990795401164,31.911708911501698,1.5382165605095544,0.6212586299441464
wj,anc,f,wj-anc,wj-anc-f,5,3.33,0.8334876820484111,34.0132089115017,1.0605095541401275,0.08475761817963527
mshA,KO,d,mshA-KO,mshA-KO-d,5,64.97000000000001,0.40029141169388643,16.33520891150169,20.691082802547776,4.370937240954788
mshA,KO,e,mshA-KO,mshA-KO-e,5,194.65,0.39584378622328203,16.153708911501695,61.99044585987262,5.953973975343019
mshA,KO,f,mshA-KO,mshA-KO-f,5,48.449999999999996,0.4855436927530216,19.814208911501694,15.429936305732484,3.9476602014108164
mshA,comp,d,mshA-comp,mshA-comp-d,5,5.4799999999999995,0.9475208783429452,38.666708911501686,1.7452229299363058,0.8034113340688998
mshA,comp,e,mshA-comp,mshA-comp-e,5,5.27,0.8755869688720941,35.73120891150169,1.678343949044586,0.7470384027455875
mshA,comp,f,mshA-comp,mshA-comp-f,5,5.05,1.0434450100491783,42.58120891150169,1.6082802547770703,0.6855188287475302
