colony.label,r,cs,toa,line,experiment,time.point,treatment,Cluster,colony,strain
C.I.post.plus_10_2,2081.0999460660973,34857.099359090935,44.93776284736423,C,I,post,plus,1,10,C_plus_10
C.I.post.plus_11_2,5658.334435109485,78607.93593647114,50.6875000025,C,I,post,plus,1,11,C_plus_11
C.I.post.plus_12_2,208.30684903596,2361.2727465255684,53.567368351507135,C,I,post,plus,3,12,C_plus_12
C.I.post.plus_13_2,1936.5478283278776,24572.564230921857,51.43746571838727,C,I,post,plus,2,13,C_plus_13
C.I.post.plus_14_2,1153.8361633031625,13567.997954893355,52.78740400698437,C,I,post,plus,3,14,C_plus_14
C.I.post.plus_15_2,1128.9519297831862,14221.951184873591,51.12747988915386,C,I,post,plus,3,15,C_plus_15
C.I.post.plus_16_2,2930.4824371911045,39511.27536762258,49.62754845737932,C,I,post,plus,1,16,C_plus_16
C.I.post.plus_17_2,186.65600803495616,2787.7785526767652,48.267610625903735,C,I,post,plus,3,17,C_plus_17
C.I.post.plus_18_2,2969.949149183071,49639.20296045468,46.327699307475314,C,I,post,plus,1,18,C_plus_18
C.I.post.plus_19_2,1918.435210641027,22383.246598049293,52.27742732018102,C,I,post,plus,2,19,C_plus_19
C.I.post.plus_20_2,1628.9213301707596,20425.68385197533,50.957487660219414,C,I,post,plus,2,20,C_plus_20
C.I.post.plus_21_2,3539.2669901125314,38339.42790824112,53.87735418074053,C,I,post,plus,1,21,C_plus_21
C.I.post.plus_22_2,2950.5607133807425,41825.67699140808,49.62754845737932,C,I,post,plus,1,22,C_plus_22
C.I.post.plus_23_2,885.6250379346178,9144.372409935084,55.37728561251508,C,I,post,plus,3,23,C_plus_23
C.I.post.plus_24_2,775.7552560927619,8732.58768959599,54.167340924216944,C,I,post,plus,3,24,C_plus_24
C.I.post.plus_25_2,1126.457109630051,13644.907149279528,52.94739669304032,C,I,post,plus,3,25,C_plus_25
C.I.post.plus_26_2,5753.304818473291,79171.85159009094,49.857537943584745,C,I,post,plus,1,26,C_plus_26
C.I.post.plus_27_2,778.6024814179451,8178.301288386378,54.00734823816099,C,I,post,plus,3,27,C_plus_27
C.I.post.plus_28_2,2354.1819543589613,29009.810433795366,51.507462518536755,C,I,post,plus,1,28,C_plus_28
C.I.post.plus_29_2,2210.457422865178,22518.65802976222,54.62731989662781,C,I,post,plus,3,29,C_plus_29
C.I.post.plus_30_2,2922.436222036955,39159.367164064766,49.96753291524821,C,I,post,plus,1,30,C_plus_30
C.I.post.plus_31_2,2309.9195041375124,28938.015536259518,51.617457490200216,C,I,post,plus,2,31,C_plus_31
C.I.post.plus_33_2,1696.2094300524795,21664.510861666906,50.53750685932255,C,I,post,plus,2,33,C_plus_33
C.I.post.plus_35_2,5395.472594146284,72647.03931177949,50.667500916743,C,I,post,plus,1,35,C_plus_35
D.I.post.plus_3_2,984.7042061367605,10527.954174771536,53.987349152404,D,I,post,plus,3,3,D_plus_3
D.I.post.plus_4_2,2570.042244437296,34033.6734789931,50.717498631135484,D,I,post,plus,1,4,D_plus_4
D.I.post.plus_6_2,1334.8225260060653,14963.80483211826,53.59736698014262,D,I,post,plus,3,6,D_plus_6
D.I.post.plus_7_2,1356.3692531716028,14512.348172398755,53.61736606589962,D,I,post,plus,3,7,D_plus_7
D.I.post.plus_8_2,2915.3760293906016,32181.401013960032,53.69736240892759,D,I,post,plus,1,8,D_plus_8
D.I.post.plus_9_2,1298.5502064251891,13083.079009298795,54.507325382085845,D,I,post,plus,3,9,D_plus_9
D.I.post.plus_10_2,1718.3251810367306,19155.796244022913,52.737406292591885,D,I,post,plus,3,10,D_plus_10
