Sample.ID,lineage,major.lineage,Rifampicin,Isoniazid,Ethambutol,Streptomycin
SRR5067607,1.1.1.1,1,0,1,0,1
SRR5065706,1.1.1.1,1,0,0,0,0
SRR5074120,1.1.1.1,1,0,0,0,0
SRR5065449,1.1.1.1,1,0,0,0,0
SRR5065509,1.1.1.1,1,0,0,0,0
SRR26399442,1.1.1.1,1,0,0,0,0
SRR5073606,1.1.1.1,1,0,0,0,0
SRR5067492,1.1.1.1,1,0,0,0,0
SRR5073540,1.1.1.1,1,0,0,0,0
SRR5067381,1.1.1.1,1,0,0,0,0
SRR5067341,1.1.1.1,1,0,0,0,0
SRR5067327,1.1.1.1,1,0,0,0,0
SRR5065446,1.1.1.1,1,0,1,0,1
SRR26399676,1.1.1.1,1,0,0,0,0
SRR26399921,1.1.1.1,1,0,0,0,0
SRR5074119,1.1.1.1,1,0,0,0,0
SRR5073915,1.1.1.1,1,0,0,0,0
SRR5074097,1.1.1.1,1,0,0,0,0
SRR5074152,1.1.1.1,1,0,0,0,0
SRR5073851,1.1.1.1,1,0,0,0,0
SRR5074131,1.1.1.1,1,0,0,0,0
SRR26399195,1.1.1.1,1,0,0,0,0
SRR5067223,1.1.1.1,1,0,1,0,1
SRR5065247,1.1.1.1,1,0,0,0,1
SRR5074162,1.1.1.1,1,0,0,0,0
SRR5067651,1.1.1.1,1,0,0,0,1
SRR5074167,1.1.1.1,1,0,0,0,0
SRR5074151,1.1.1.1,1,0,0,1,0
SRR26399685,1.1.1.1,1,0,0,0,0
SRR5065498,1.1.1.1,1,0,0,0,0
SRR5073512,1.1.1.1,1,0,0,0,0
SRR5067681,1.1.1.1,1,0,0,0,0
SRR26399448,1.1.1.1,1,0,0,0,0
SRR5073501,1.1.1.1,1,0,0,0,0
SRR5073826,1.1.1.1,1,0,0,0,1
SRR5065310,1.1.1.1,1,0,1,0,1
SRR5073692,1.1.1.1,1,0,0,0,0
SRR5073926,1.1.1.1,1,0,0,0,0
SRR5067362,1.1.1.1,1,0,0,0,0
SRR26399544,1.1.1.1,1,0,0,0,0
SRR5065306,1.1.1.1,1,0,0,0,0
SRR5073668,1.1.1.1,1,0,0,0,0
SRR5065502,1.1.1.1,1,0,0,0,0
SRR5067428,1.1.1.1,1,0,0,0,1
SRR5074126,1.1.1.1,1,0,0,0,0
SRR26399687,1.1.1.1,1,0,0,0,0
SRR5073682,1.1.1.1,1,0,0,0,0
SRR5065302,1.1.1.1,1,0,0,0,0
SRR5065266,1.1.1.1,1,1,0,0,0
SRR5074083,1.1.1.1,1,0,1,0,0
SRR5067242,1.1.1.1,1,0,1,0,1
SRR5065227,1.1.1.1,1,0,0,0,0
SRR26399964,1.1.1.1,1,0,0,0,0
SRR5067376,1.1.1.1,1,0,0,0,0
SRR5073554,1.1.1.1,1,0,1,0,1
SRR5065395,1.1.1.1,1,0,0,0,0
SRR26399929,1.1.1.1,1,0,0,0,0
SRR5074085,1.1.1.1,1,0,0,0,0
SRR5065632,1.1.1.1,1,0,0,0,0
SRR5073792,1.1.1.1,1,0,0,0,1
SRR5073584,1.1.1.1,1,0,0,0,0
SRR5067542,1.1.1.1,1,0,0,0,0
SRR5065318,1.1.1.1,1,0,0,0,0
SRR5073635,1.1.1.1,1,0,0,0,0
SRR5065264,1.1.1.1,1,0,0,0,0
SRR5067410,1.1.1.1,1,0,1,0,1
SRR5067305,1.1.1.1,1,0,0,0,0
SRR5067548,1.1.1.1,1,0,0,0,0
SRR5073551,1.1.1.1,1,0,0,0,0
SRR26399680,1.1.1.1,1,0,0,0,0
SRR26399423,1.1.1.1,1,0,0,0,0
SRR26399822,1.1.1.1,1,0,0,0,0
SRR5067323,1.1.1.1,1,1,0,1,1
SRR5065494,1.1.1.1,1,0,0,0,1
SRR5067522,1.1.1.1,1,0,1,0,0
SRR26399323,1.1.1.1,1,0,0,0,0
SRR5065468,1.1.1.1,1,0,0,0,0
SRR5074099,1.1.1.1,1,0,0,0,0
SRR26399660,1.1.1.1,1,0,0,0,0
SRR5073898,1.1.1,1,0,1,0,1
SRR5073518,1.1.1,1,0,1,0,1
SRR26400030,1.1.1,1,0,0,0,0
SRR5073987,1.1.1,1,0,0,0,0
SRR5074079,1.1.1,1,0,0,0,0
SRR26399956,1.1.1,1,0,0,0,0
SRR5065322,1.1.1,1,0,0,0,0
SRR5073705,1.1.1,1,0,0,0,0
SRR5067357,1.1.1,1,0,0,0,1
SRR5067517,1.1.1,1,0,0,0,0
SRR5065386,1.1.1,1,0,0,0,0
SRR26399961,1.1.1,1,0,0,0,0
SRR5067268,1.1.1,1,0,0,0,0
SRR26399950,1.1.3,1,0,0,0,0
