rv.number,locus
Rv0390,Rv0390
Rv0427c,xthA
Rv0689c,Rv0689c
Rv0738,Rv0738
Rv0801,Rv0801
Rv1175c,fadH
Rv1594,nadA
Rv1735c,Rv1735c
Rv2015c,Rv2015c
Rv2077c,Rv2077c
Rv2149c,yfiH
Rv2448c,valS
Rv2481c,Rv2481c
Rv2573,Rv2573
Rv2786c,ribF
Rv2924c,fpg
Rv3006,lppZ
Rv3009c,gatB
Rv3090,Rv3090
Rv3559c,Rv3559c
Rv3702c,Rv3702c
Rv3850,Rv3850
Rv1373,Rv1373
Rv0727c,fucA
Rv1410c,Rv1410c
Rv1568,bioA
Rv2580c,hisS
Rv2618,Rv2618
Rv3403c,Rv3403c
Rv3436c,glmS
Rv3552,Rv3552
Rv1353c,Rv1353c
Rv0112,gca
Rv0204c,Rv0204c
Rv0207c,Rv0207c
Rv0338c,Rv0338c
Rv0493c,Rv0493c
Rv0506,mmpS2
Rv0722,rpmD
Rv0770,Rv0770
Rv0809,purM
Rv0885,Rv0885
Rv1351,Rv1351
Rv1523,Rv1523
Rv1558,Rv1558
Rv1590,Rv1590
Rv1725c,Rv1725c
Rv1887,Rv1887
Rv2492,Rv2492
Rv2499c,Rv2499c
Rv2824c,Rv2824c
Rv2855,mtr
Rv2937,drrB
Rv3139,fadE24
Rv3498c,mce4B
Rv3553,Rv3553
Rv3593,lpqF
Rv3631,Rv3631
Rv3647c,Rv3647c
Rv3670,ephE
Rv3675,Rv3675
Rv3808c,glfT2
Rv1479,moxR1
Rv1863c,Rv1863c
Rv1075c,Rv1075c
Rv2055c,rpsR2
Rv0282,eccA3
Rv0669c,Rv0669c
Rv0712,Rv0712
Rv0765c,Rv0765c
Rv0828c,Rv0828c
Rv1252c,lprE
Rv1279,Rv1279
Rv1547,dnaE1
Rv2060,Rv2060
Rv2438c,nadE
Rv2702,ppgK
Rv3073c,Rv3073c
Rv0882,Rv0882
Rv0715,rplX
Rv1349,irtB
Rv1692,Rv1692
Rv1742,Rv1742
Rv1796,mycP5
Rv1860,apa
Rv2069,sigC
Rv2234,ptpA
Rv3705A,Rv3705A
Rv3856c,Rv3856c
Rv3918c,parA
Rv0048c,Rv0048c
Rv0085,hycP
Rv0199,Rv0199
Rv0470c,pcaA
Rv1002c,Rv1002c
Rv1029,kdpA
Rv1033c,trcR
Rv1281c,oppD
Rv2043c,pncA
Rv2206,Rv2206
Rv2606c,snzP
Rv2725c,hflX
Rv3039c,echA17
Rv3661,Rv3661
Rv1825,Rv1825
Rv3412,Rv3412
Rv1761c,Rv1761c
Rv0272c,Rv0272c
Rv1146,mmpL13b
Rv2710,sigB
Rv3417c,groEL1
Rv1295-Rv1296,thrC-thrB
Rv0743c,Rv0743c
Rv1528c,papA4
Rv3681c,whiB4
Rv0171,mce1C
Rv0230c,php
Rv0318c,Rv0318c
Rv0408,pta
Rv0557,mgtA
Rv0561c,Rv0561c
Rv0649,fabD2
Rv0811c,Rv0811c
Rv1233c,Rv1233c
Rv1237,sugB
Rv1276c,Rv1276c
Rv1563c,treY
Rv1744c,Rv1744c
Rv2548,vapC19
Rv2577,Rv2577
Rv2597,Rv2597
Rv2622,Rv2622
Rv2854,Rv2854
Rv3757c,proW
Rv3818,Rv3818
Rv1192,Rv1192
Rv3235,Rv3235
Rv2956,Rv2956
Rv1928c,Rv1928c
Rv2849c,cobO
Rv0348,Rv0348
Rv3737,Rv3737
Rv3238c,Rv3238c
Rv0706,rplV
Rv1051c,Rv1051c
Rv1354c,Rv1354c
Rv1688,mpg
Rv1850,ureC
Rv1948c,Rv1948c
Rv2072c,cobL
Rv2596,vapC40
Rv2807,Rv2807
Rv3708c,asd
Rv3735,Rv3735
Rv0028,Rv0028
Rv2392,cysH
Rv2843,Rv2843
Rv3110,moaB1
Rv3126c,Rv3126c
Rv3203,lipV
Rv0381c,Rv0381c
Rv0876c,Rv0876c
Rv2246,kasB
Rv3179,Rv3179
Rv0703,rplW
Rv0066c,icd2
Rv1064c,lpqV
Rv3013,Rv3013
Rv0268c,Rv0268c
Rv1645c,Rv1645c
Rv0598c,vapC27
Rv1086,Rv1086
Rv2038c,Rv2038c
Rv2888c,amiC
Rv3588c,canB
Rv3761c,fadE36
Rv2511,orn
Rv3187-Rv3188,Rv3187-Rv3188
Rv0539,Rv0539
Rv1142c,echA10
Rv1421,Rv1421
Rv1492,mutA
Rv2172c,Rv2172c
Rv2372c,Rv2372c
Rv2764c,thyA
Rv2873,mpt83
Rv3114,Rv3114
Rv3152,nuoH
Rv3755c,Rv3755c
Rv3385c,vapB46
Rv1952,vapB14
Rv0324,Rv0324
Rv0436c,pssA
Rv0684,fusA1
Rv0734,mapA
Rv1379,pyrR
Rv1512,epiA
Rv1680,Rv1680
Rv1722,Rv1722
Rv1973,Rv1973
Rv2510c,Rv2510c
Rv2571c,Rv2571c
Rv3084,lipR
Rv1445c,devB
Rv0475,hbhA
Rv1003,Rv1003
EBG00000313378,F6
Rv0881,Rv0881
Rv1257c,Rv1257c
Rv1412,ribC
Rv1710,scpB
Rv2546,vapC18
Rv2578c,Rv2578c
Rv2638,Rv2638
Rv3496c,mce4D
Rv3626c,Rv3626c
Rv3905c,esxF
Rv1762c-Rv1763,Rv1762c-Rv1763
Rv2541,Rv2541
Rv0826,Rv0826
Rv0960,vapC9
Rv1865c,Rv1865c
Rv2012,Rv2012
Rv2286c,Rv2286c
Rv3686c,Rv3686c
Rv2107-Rv2108,PE22-PPE36
Rv0098,fcoT
Rv0492A,Rv0492A
Rv0593,lprL
Rv1712,cmk
Rv2875,mpt70
Rv2993c,Rv2993c
Rv3414c,sigD
Rv3455c,truA
Rv3565,aspB
Rv0400c,fadE7
Rv0935,pstC1
Rv1224,tatB
Rv1320c,Rv1320c
Rv1599,hisD
Rv2449c,Rv2449c
Rv2640c,Rv2640c
Rv3639c,Rv3639c
Rv0693,pqqE
Rv0805,Rv0805
Rv3452,cut4
Rv3683,Rv3683
Rv3775,lipE
Rv1212c,glgA
Rv1443c,Rv1443c
Rv1955,higB
Rv1967,mce3B
Rv1982A,vapB36
Rv2068c,blaC
Rv2363,amiA2
Rv2534c,efp
Rv2556c,Rv2556c
Rv2568c,Rv2568c
Rv2744c,35kd_ag
Rv2896c,Rv2896c
Rv3044,fecB
Rv3064c,Rv3064c
Rv3119,moaE1
Rv3586,Rv3586
Rv1953,vapC14
Rv2267c,Rv2267c
Rv0034,Rv0034
Rv0099,fadD10
Rv1343c,lprD
Rv1746,pknF
Rv1845c,blaR
Rv2231A,vapC16
Rv2250c,Rv2250c
Rv2336,Rv2336
Rv2804c,Rv2804c
Rv2900c,fdhF
Rv3744,nmtR
Rv3783,rfbD
Rv1308,atpA
Rv2687c,Rv2687c
Rv0049,Rv0049
Rv0692,Rv0692
Rv1242,vapC33
Rv1798,eccA5
Rv3697c,vapC48
Rv3359,Rv3359
Rv0157,pntB
Rv0248c,Rv0248c
Rv2856,nicT
Rv3865,espF
Rv1533,Rv1533
Rv3176c,mesT
Rv0710,rpsQ
Rv1188,Rv1188
Rv2192c,trpD
Rv2209,Rv2209
Rv2398c,cysW
Rv3341,metA
Rv3712,Rv3712
Rv3815c,Rv3815c
Rv3709c,ask
Rv0812,Rv0812
Rv1341,Rv1341
Rv1494,mazE4
Rv1510,Rv1510
Rv1638A,Rv1638A
EBG00000313337,G2
Rv1930c,Rv1930c
Rv2611c,Rv2611c
Rv2795c,Rv2795c
Rv3172c,Rv3172c
Rv3721c,dnaZX
Rv3821,Rv3821
Rv0330c,Rv0330c
Rv0685,tuf
Rv0879c,Rv0879c
Rv1151c,Rv1151c
Rv2046,lppI
Rv2337c,Rv2337c
Rv2344c,dgt
Rv2604c,snoP
Rv2740,ephG
Rv2919c,glnB
Rv3120,Rv3120
Rv3863,Rv3863
Rv0008c,Rv0008c
Rv0129c,fbpC
Rv0843,Rv0843
Rv0852,fadD16
Rv1209,Rv1209
Rv2114,Rv2114
Rv2852c,mqo
Rv3077,Rv3077
Rv3180c,Rv3180c
Rv3237c,Rv3237c
Rv3659c,Rv3659c
Rv3920c,Rv3920c
Rv1755c-Rv1756c,plcD-Rv1756c
Rv3060c,Rv3060c
Rv0859,fadA
Rv1108c,xseA
Rv1135A,Rv1135A
Rv1600,hisC1
Rv2315c,Rv2315c
Rv2842c,Rv2842c
Rv3033,Rv3033
Rv3777,Rv3777
Rv2980,Rv2980
Rv0428c,Rv0428c
Rv0919,Rv0919
Rv1230c,Rv1230c
Rv1531,Rv1531
Rv1700,Rv1700
Rv2364c,era
Rv2409c,Rv2409c
Rv2417c,Rv2417c
Rv2498c,citE
Rv2851c,Rv2851c
Rv2960c,Rv2960c
Rv3546,fadA5
Rv3594,Rv3594
Rv0798c,cfp29
Rv0415,thiO
Rv0480c,Rv0480c
Rv0763c,Rv0763c
Rv0959A,vapB9
Rv0984,moaB2
Rv2307B,Rv2307B
Rv2341,lppQ
Rv3150,nuoF
Rv0246,Rv0246
Rv0340,Rv0340
Rv0854,Rv0854
Rv1235,lpqY
Rv1539,lspA
Rv1686c,Rv1686c
Rv2748c,ftsK
Rv3156,nuoL
Rv3226c,Rv3226c
Rv3568c,hsaC
Rv3846,sodA
Rv1466,Rv1466
Rv0186,bglS
Rv3605c,Rv3605c
Rv0466,Rv0466
Rv0495c,Rv0495c
Rv0503c,cmaA2
Rv0688,Rv0688
Rv0956,purN
Rv1013,pks16
Rv1271c,Rv1271c
Rv1275,lprC
Rv1298,rpmE
Rv1636,TB15.3
Rv2242,Rv2242
Rv2284,lipM
Rv2412,rpsT
Rv2614A,Rv2614A
Rv2632c,Rv2632c
Rv2669,Rv2669
Rv2698,Rv2698
Rv2907c,rimM
Rv3001c,ilvC
Rv3003c,ilvB1
Rv3050c,Rv3050c
Rv3257c,pmmA
Rv1989c,Rv1989c
Rv1690,lprJ
Rv2746c,pgsA3
Rv1416,ribH
Rv0200,Rv0200
Rv0424c,Rv0424c
Rv0624,vapC30
Rv0951,sucC
Rv2258c,Rv2258c
Rv2806,Rv2806
Rv2959c,Rv2959c
Rv3704c,gshA
EBG00000313376,MTS1338
Rv2613c,Rv2613c
Rv2742c,Rv2742c
Rv3265c,wbbL1
Rv3331,sugI
Rv1798-Rv1799,eccA5-lppT
Rv1072,Rv1072
Rv1115,Rv1115
Rv2410c,Rv2410c
Rv3055,Rv3055
Rv3259,Rv3259
Rv3556c,fadA6
Rv0303,Rv0303
Rv0884c,serC
Rv1556,Rv1556
Rv2040c,Rv2040c
Rv2801A,mazE9
Rv3005c,Rv3005c
Rv3206c,moeB1
Rv0603,Rv0603
Rv0343,iniC
Rv1822,pgsA2
Rv2008c,Rv2008c
Rv2289,cdh
Rv2642,Rv2642
Rv3306c,amiB1
Rv1110,lytB2
Rv1236,sugA
Rv1537,dinX
Rv1571,Rv1571
Rv2097c,pafA
Rv2565,Rv2565
Rv3357,relJ
Rv3518c,cyp142
Rv3609c,folE
Rv3792,aftA
Rv3242c,Rv3242c
Rv0011c,Rv0011c
Rv0562,grcC1
Rv0898c,Rv0898c
Rv1101c,Rv1101c
Rv1216c,Rv1216c
Rv2507,Rv2507
Rv0009,ppiA
Rv0441c,Rv0441c
Rv2508c,Rv2508c
Rv3264c,manB
Rv3435c,Rv3435c
Rv1890c,Rv1890c
Rv2620c,Rv2620c
Rv0418,lpqL
Rv0485,Rv0485
Rv1187,rocA
EBG00000313387,ncrMT1234
Rv1337,Rv1337
Rv2503c,scoB
Rv2922A,acyP
Rv3028c,fixB
Rv3324c,moaC3
Rv3913,trxB2
Rv2529,Rv2529
Rv1095,phoH2
Rv1367c,Rv1367c
Rv1913,Rv1913
Rv2185c,TB16.3
Rv2731,Rv2731
Rv3025c,iscS
Rv3292,Rv3292
Rv3481c,Rv3481c
Rv1039c,esxJ-PPE15
Rv0271c,fadE6
Rv0412c,Rv0412c
Rv0497,Rv0497
Rv1418,lprH
Rv1717,Rv1717
Rv1773c,Rv1773c
Rv2031c,hspX
Rv2221c,glnE
Rv0612,Rv0612
Rv1767,Rv1767
Rv2044c,Rv2044c
Rv3656c,Rv3656c
Rv0455c,Rv0455c
Rv0678,Rv0678
Rv3440c,Rv3440c
Rv0108c,Rv0108c
Rv0123,Rv0123
Rv0382c,pyrE
Rv0483,lprQ
Rv0646c,lipG
Rv0701,rplC
Rv0901,Rv0901
Rv0947c,Rv0947c
Rv1805c,Rv1805c
Rv1858,modB
Rv2095c,pafC
Rv2737A,Rv2737A
Rv2761c,hsdS
Rv2921c,ftsY
Rv3031,Rv3031
Rv3544c,fadE28
Rv3717,Rv3717
Rv0607,Rv0607
Rv0078,Rv0078
Rv0800,pepC
Rv1018c,glmU
Rv2603c,Rv2603c
Rv3267,Rv3267
Rv2847c-Rv2848c,cysG-cobB
Rv0233,nrdB
Rv0320,Rv0320
Rv0491,regX3
Rv0941c,Rv0941c
Rv1597,Rv1597
Rv2375,Rv2375
Rv2834c,ugpE
Rv3066,Rv3066
Rv3616c,espA
Rv0128,Rv0128
Rv0892,Rv0892
Rv1654,argB
Rv1703c,Rv1703c
Rv2997,Rv2997
Rv3353c,Rv3353c
Rv3127,Rv3127
Rv3141,fadB4
Rv1306,atpF
Rv2667,clpC2
Rv3304,Rv3304
Rv0563,htpX
Rv2445c,ndkA
Rv1346,mbtN
Rv2467,pepN
Rv0254c,cobU
Rv2778c,Rv2778c
Rv0219,Rv0219
Rv0531,Rv0531
Rv0857,Rv0857
Rv0997,Rv0997
Rv1056,Rv1056
Rv1513,Rv1513
Rv1658,argG
Rv1897c,Rv1897c
Rv2411c,Rv2411c
Rv2738c,Rv2738c
Rv2883c,pyrH
Rv3484,cpsA
Rv3624c,hpt
Rv0184,Rv0184
Rv0078B,Rv0078B
Rv1314c,Rv1314c
Rv2007c,fdxA
Rv0155,pntAa
Rv0232,Rv0232
Rv1259,udgB
Rv1603,hisA
Rv2237,Rv2237
Rv3131,Rv3131
Rv3168,Rv3168
Rv3223c,sigH
Rv0118c,oxcA
Rv0298,Rv0298
Rv0372c,Rv0372c
Rv2179c,Rv2179c
Rv2183c,Rv2183c
Rv3030,Rv3030
Rv2649-Rv2650c,Rv2649-Rv2650c
Rv3657c,Rv3657c
Rv1053c,Rv1053c
Rv1406,fmt
Rv2125,Rv2125
Rv2773c,dapB
Rv3142c,Rv3142c
Rv3916c,Rv3916c
Rv1476,Rv1476
Rv0081,Rv0081
Rv0114,gmhB
Rv0566c,Rv0566c
Rv0657c,vapB6
Rv0945,Rv0945
Rv1159A,Rv1159A
Rv1816,Rv1816
Rv2694c,Rv2694c
Rv3904c,esxE
Rv3528c,Rv3528c
Rv0413,mutT3
Rv0546c,Rv0546c
Rv0661c,vapC7
Rv0982,mprB
Rv1227c,Rv1227c
Rv1653,argJ
Rv2707,Rv2707
Rv3315c,cdd
Rv0033,acpA
Rv1545,Rv1545
Rv0472c,Rv0472c
Rv0511,hemD
Rv0803,purL
Rv1794,Rv1794
Rv3542c,Rv3542c
Rv1871c,Rv1871c
Rv0573c,pncB2
Rv0615,Rv0615
Rv0695,Rv0695
Rv0839,Rv0839
Rv1097c,Rv1097c
Rv1141c,echA11
Rv1496,Rv1496
Rv2401A,Rv2401A
Rv2452c,Rv2452c
Rv2538c,aroB
Rv2703,sigA
Rv2785c,rpsO
Rv3124,moaR1
Rv3256c,Rv3256c
Rv3569c,hsaD
Rv3848,Rv3848
Rv1010,ksgA
Rv1323,fadA4
Rv2497c,bkdA
Rv2902c,rnhB
Rv1332,Rv1332
Rv0462,lpdC
Rv0637,hadC
Rv1184c,Rv1184c
Rv1234,Rv1234
Rv1413,Rv1413
Rv1618,tesB1
Rv2111c,pup
Rv2260,Rv2260
Rv2548A,Rv2548A
Rv3720,Rv3720
Rv3363c,Rv3363c
Rv0423c,thiC
Rv1691,Rv1691
Rv1726,AS1726-Rv1727
Rv1817,Rv1817
Rv2238c,ahpE
Rv2406c,Rv2406c
Rv2459,Rv2459
Rv2581c,Rv2581c
Rv2871,vapB43
Rv3840,Rv3840
Rv0186A,mymT
Rv0918,Rv0918
Rv1238,sugC
Rv1559,ilvA
Rv1671,Rv1671
Rv3749c,Rv3749c
Rv0349,Rv0349
Rv0581,vapB26
Rv0597c,Rv0597c
Rv1339,Rv1339
Rv1935c,echA13
Rv2122c,hisE
Rv3154,nuoJ
Rv3492c,Rv3492c
Rv1147,Rv1147
Rv0611c,Rv0611c
Rv2237A,Rv2237A
Rv0237,lpqI
Rv0409,ackA
Rv0721,rpsE
Rv1222,rseA
Rv2342,Rv2342
Rv3048c,nrdF2
Rv0076c,Rv0076c
Rv1782,eccB5
Rv2636,Rv2636
Rv0769,Rv0769
Rv2610c,pimA
Rv2711,ideR
Rv0976c-Rv0977,Rv0976c-PE_PGRS16
Rv1861-Rv1862,Rv1861-adhA
Rv2294-Rv2295,Rv2294-Rv2295
Rv0038,Rv0038
Rv1263,amiB2
Rv2033c,Rv2033c
Rv2876,Rv2876
Rv3016,lpqA
Rv3276c,purK
Rv2717c,Rv2717c
Rv0043c,Rv0043c
Rv1404,Rv1404
Rv1795,eccD5
Rv2142A-Rv2143,parD2-Rv2143
Rv0991c,Rv0991c
Rv1765c,Rv1765c
Rv0135c,Rv0135c
Rv0751c,mmsB
Rv3318,sdhA
Rv0137c,msrA
Rv0967,csoR
Rv1491c,Rv1491c
Rv1100,Rv1100
Rv3247c,tmk
Rv2844,Rv2844
Rv0602c,tcrA
Rv2399c,cysT
Rv0740,Rv0740
Rv1678,Rv1678
Rv1812c,Rv1812c
Rv2018,Rv2018
Rv2635,Rv2635
Rv2998,Rv2998
Rv0307c,Rv0307c
Rv1652,argC
Rv2166c,Rv2166c
Rv2528c,mrr
Rv3602c,panC
Rv2423,Rv2423
Rv0660c,mazE2
Rv0940c,Rv0940c
Rv1202,dapE
Rv1655,argD
Rv3049c,Rv3049c
Rv1143-Rv1144,mcr-Rv1144
Rv0156,pntAb
Rv0600c,Rv0600c
Rv1073,Rv1073
Rv1130,prpD
Rv1589,bioB
Rv2184c,Rv2184c
Rv2539c,aroK
Rv2572c,aspS
Rv2688c,Rv2688c
Rv2775,Rv2775
Rv3122,Rv3122
Rv3541c,Rv3541c
Rv1470,trxA
Rv0990c,Rv0990c
Rv3295,Rv3295
Rv2186c,Rv2186c
Rv3799c,accD4
EBG00000313318,MTS2823
Rv0097,Rv0097
Rv2432c,Rv2432c
Rv3577,Rv3577
Rv0247c,Rv0247c
Rv2893,Rv2893
Rv3563,fadE32
Rv0799c,Rv0799c
Rv1628c,Rv1628c
Rv2774c,Rv2774c
Rv2945c,lppX
Rv0265c,Rv0265c
Rv0273c,Rv0273c
Rv0793,Rv0793
Rv1144,Rv1144
Rv1867,Rv1867
Rv2999,lppY
Rv0559c,Rv0559c
Rv3513c,fadD18
Rv3906c,Rv3906c
Rv0549c,vapC3
Rv1282c,oppC
Rv2204c,Rv2204c
Rv2302,Rv2302
Rv2780,ald
Rv3517,Rv3517
Rv3123,Rv3123
Rv2254c,Rv2254c
Rv3677c,Rv3677c
Rv0459,Rv0459
Rv1988,erm(37)
Rv0308,Rv0308
Rv1312,Rv1312
Rv1338,murI
Rv1544,Rv1544
Rv2549c,vapC20
Rv3035,Rv3035
Rv3286c,sigF
Rv2145c,wag31
Rv1417,Rv1417
Rv0707,rpsC
Rv1167c,Rv1167c
Rv1982c,vapC36
Rv3604c,Rv3604c
Rv2879c,Rv2879c
Rv0964c,Rv0964c
Rv1255c,Rv1255c
Rv2451,Rv2451
Rv3228,Rv3228
Rv3065,mmr
Rv3105c,prfB
Rv3364c,Rv3364c
Rv2193,ctaE
Rv0595c,vapC4
Rv0623,vapB30
Rv1380,pyrB
Rv2151c,ftsQ
Rv3032,Rv3032
Rv2909c,rpsP
Rv1607,chaA
Rv2369c,Rv2369c
Rv3851,Rv3851
Rv0375c,Rv0375c
Rv3271c,Rv3271c
Rv2859c,Rv2859c
Rv3443c-Rv3444c,rplM-esxT
Rv1486c,Rv1486c
Rv2554c,Rv2554c
Rv3195,Rv3195
Rv2173,idsA2
Rv0733,adk
Rv3143,Rv3143
Rv3580c,cysS1
Rv1093,glyA1
Rv3157,nuoM
Rv0072,Rv0072
Rv2120c,Rv2120c
Rv1631,coaE
Rv3253c,Rv3253c
Rv0478,deoC
Rv3742c,Rv3742c
Rv2887,Rv2887
Rv3697A,vapB48
Rv1134,Rv1134
Rv1006,Rv1006
Rv2357c,glyS
Rv2530c,vapC39
Rv3557c,Rv3557c
Rv3834c,serS
Rv0025,Rv0025
Rv0208c,Rv0208c
Rv1762c,Rv1762c
Rv2458,mmuM
Rv3320c,vapC44
Rv3485c,Rv3485c
Rv1070c,echA8
Rv2026c,Rv2026c
Rv0328,Rv0328
Rv1622c,cydB
Rv2466c,Rv2466c
Rv0586,mce2R
Rv3340,metC
Rv1285,cysD
Rv1427c,fadD12
Rv1827,garA
Rv2862c,Rv2862c
Rv0516c,Rv0516c
Rv1487,Rv1487
Rv2801c,mazF9
Rv3233c,Rv3233c
Rv1422,Rv1422
Rv3098A,Rv3098A
Rv0617,vapC29
Rv1473,Rv1473
Rv2296,Rv2296
Rv3816c,Rv3816c
Rv2518c,ldtB
Rv2049c,Rv2049c
Rv1728c,Rv1728c
Rv0234c,gabD1
Rv1246c,relE
Rv2679,echA15
Rv3041c,Rv3041c
Rv2493,vapB38
Rv2747,argA
Rv3165c,Rv3165c
Rv0601c,Rv0601c
Rv2816c,Rv2816c
Rv3612c,Rv3612c
Rv2598,Rv2598
Rv1799,lppT
Rv1893,Rv1893
Rv1926c,mpt63
Rv1939,Rv1939
Rv3204,Rv3204
Rv0351,grpE
Rv2056c,rpsN2
Rv2395B,aprB
Rv2781c,Rv2781c
Rv3215,entC
Rv3322c,Rv3322c
Rv1669,Rv1669
Rv2093c,tatC
Rv3922c,Rv3922c
Rv0494,Rv0494
Rv1280c,oppA
Rv2421c,nadD
Rv3145,nuoA
Rv3444c,esxT
Rv0490,senX3
Rv0227c,Rv0227c
Rv0430,Rv0430
Rv1082,mca
Rv1475c,acn
Rv2827c,Rv2827c
Rv3408,vapC47
Rv3451,cut3
Rv0002,dnaN
Rv2273,Rv2273
Rv2439c,proB
Rv3791,dprE2
Rv3813c,Rv3813c
Rv2197c,Rv2197c
Rv3004,cfp6
Rv0716,rplE
Rv3137,Rv3137
Rv2331A,Rv2331A
Rv2378c,mbtG
Rv3311,Rv3311
Rv0040c,mtc28
Rv1437,pgk
Rv1839c,vapB13
Rv0523c,Rv0523c
Rv3258c,Rv3258c
Rv0337c,aspC
Rv0749A,Rv0749A
Rv0871,cspB
Rv0807,Rv0807
Rv1861,Rv1861
Rv2722,Rv2722
Rv3679,Rv3679
Rv0709,rpmC
Rv2218,lipA
Rv2166c-Rv2167c,Rv2166c-Rv2167c
Rv1008,tatD
Rv1864c,Rv1864c
Rv0295c,Rv0295c
Rv0675,echA5
Rv1155,Rv1155
Rv1344,mbtL
Rv1401,Rv1401
Rv1741,vapC34
Rv1946c,lppG
Rv2102,Rv2102
Rv2382c,mbtC
Rv2552c,aroE
Rv2882c,frr
Rv3136A,Rv3136A
Rv3329,Rv3329
Rv3880c,espL
Rv2811,Rv2811
Rv1987,Rv1987
Rv2360c,Rv2360c
Rv0391,metZ
Rv0416,thiS
Rv1635c,Rv1635c
Rv2465c,rpiB
Rv2903c,lepB
Rv3171c,hpx
Rv1748,Rv1748
Rv0253,nirD
Rv0157A,Rv0157A
Rv0787A,Rv0787A
Rv1456c,Rv1456c
Rv2601A,vapB41
Rv2982c,gpdA2
Rv3188,Rv3188
Rv3319,sdhB
Rv0696,Rv0696
Rv1094,desA2
Rv0520,Rv0520
Rv1434,Rv1434
Rv0460,Rv0460
Rv0582,vapC26
Rv1126c,Rv1126c
Rv1641,infC
Rv2144c,Rv2144c
Rv2405,Rv2405
Rv2594c,ruvC
Rv3486,Rv3486
EBG00000313385,mpr18
Rv0277c,vapC25
Rv0165c-Rv0166,mce1R-fadD5
Rv3173c,Rv3173c
Rv2473,Rv2473
Rv0236A,Rv0236A
Rv1560,vapB11
Rv2141c,Rv2141c
Rv2146c,Rv2146c
Rv2413c,Rv2413c
Rv2420c,Rv2420c
EBG00000313367,mpr17
Rv3672c,Rv3672c
Rv1208,gpgS
Rv1838c,vapC13
Rv2626c,hrp1
Rv3208,Rv3208
Rv0514,Rv0514
Rv0527,ccdA
Rv2983,Rv2983
Rv0195,Rv0195
Rv0910,Rv0910
Rv0250c,Rv0250c
Rv2169c,Rv2169c
Rv2313c,Rv2313c
Rv2728c,Rv2728c
Rv0735,sigL
Rv2198c,mmpS3
Rv0748,vapB31
Rv1454c,qor
Rv1508A,Rv1508A
Rv1694,tlyA
Rv1879,Rv1879
Rv3416,whiB3
Rv3566c,nat
EBG00000313366,serX
Rv2365c,Rv2365c
Rv1432,Rv1432
Rv1438,tpi
Rv1974,Rv1974
Rv2131c,cysQ
Rv3017c,esxQ
Rv3456c,rplQ
Rv3664c,dppC
Rv0771,Rv0771
Rv0788,purQ
Rv2754c,thyX
Rv3752c,Rv3752c
Rv0154c,fadE2
Rv0560c,Rv0560c
Rv3628,ppa
Rv2338c,moeW
Rv2884,Rv2884
Rv3354,Rv3354
Rv3516,echA19
Rv2808,Rv2808
Rv3503c,fdxD
Rv1014c,pth
Rv3768,Rv3768
Rv0084,hycD
Rv0464c,Rv0464c
Rv1593c,Rv1593c
Rv2134c,Rv2134c
Rv2231B,vapB16
Rv1385,pyrF
Rv2211c,gcvT
Rv2915c,Rv2915c
Rv1079-Rv1080c,metB-greA
Rv1546,Rv1546
Rv2547,vapB19
Rv2985,mutT1
Rv3923c,rnpA
Rv0553,menC
Rv0827c,kmtR
Rv1542c,glbN
Rv2555c,alaS
Rv1415,ribA2
Rv2465c-Rv2466c,rpiB-Rv2466c
Rv3010c,pfkA
Rv1238-Rv1239c,sugC-corA
Rv0196,Rv0196
Rv2762c,Rv2762c
Rv2895c,viuB
Rv1414,Rv1414
Rv1499,Rv1499
Rv2700,Rv2700
Rv3410c,guaB3
Rv0401,Rv0401
Rv0100,Rv0100
Rv1203c,Rv1203c
Rv2475c,Rv2475c
Rv2637,dedA
Rv3034c,Rv3034c
Rv1485,hemZ
Rv3683-Rv3684,Rv3683-Rv3684
Rv0640,rplK
Rv0287,esxG
Rv3197-Rv3197A,Rv3197-whiB7
Rv3212-Rv3213c,Rv3212-Rv3213c
Rv3634c,galE1
Rv0840c-Rv0841,pip-Rv0841
Rv2323c,Rv2323c
Rv2300c,Rv2300c
Rv2641,cadI
Rv1330c-Rv1331,pncB1-Rv1331
MTB000067,mcr7
Rv2665,Rv2665
Rv2763c,dfrA
Rv2981c,ddlA
Rv3263-Rv3264c,Rv3263-manB
Rv3803c-Rv3804c,fbpD-fbpA
Rv0512,hemB
Rv0530A,Rv0530A
Rv2394-Rv2395,ggtB-Rv2395
Rv2525c,Rv2525c
Rv3183,Rv3183
Rv3405c,Rv3405c
Rv2064-Rv2065,cobG-cobH
Rv0787-Rv0787A,Rv0787-Rv0787A
Rv2500c,fadE19
Rv0482-Rv0483,murB-lprQ
Rv1388,mihF
Rv3328c,sigJ
Rv0838-Rv0839,lpqR-Rv0839
Rv2461c,clpP1
Rv2636-Rv2637,Rv2636-dedA
Rv1411c,lprG
Rv0841,Rv0841
Rv2472,Rv2472
Rv2240c-Rv2241,Rv2240c-aceE
Rv1981c,nrdF1
Rv2517c,Rv2517c
Rv0670,end
Rv0847,lpqS
Rv1856c,Rv1856c
Rv2304c,Rv2304c
Rv2345-Rv2346c,Rv2345-esxO
Rv2806-Rv2807,Rv2806-Rv2807
Rv0738-Rv0739,Rv0738-Rv0739
Rv1311,atpC
Rv3140-Rv3141,fadE23-fadB4
Rv0369c,Rv0369c
Rv1919c,Rv1919c
Rv0815c,cysA2
Rv1293,lysA
